2011-1-12 9:41:29	 Ver:1.0.3.2	publicFilepath:E:\kcs\WebSite1\key\PublicKey.snk,privateFile:E:\kcs\WebSite1\key\PrivateKey.snk
2011-1-12 9:46:00	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094600RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:46:00	 Ver:1.0.3.2	signing data......


2011-1-12 9:46:00	 Ver:1.0.3.2	set key store


2011-1-12 9:46:00	 Ver:1.0.3.2	import parameters......


2011-1-12 9:46:00	 Ver:1.0.3.2	start signing.....


2011-1-12 9:46:00	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094600RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:46:00	 Ver:1.0.3.2	signing data......


2011-1-12 9:46:00	 Ver:1.0.3.2	set key store


2011-1-12 9:46:00	 Ver:1.0.3.2	import parameters......


2011-1-12 9:46:00	 Ver:1.0.3.2	start signing.....


2011-1-12 9:46:00	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094600RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:46:00	 Ver:1.0.3.2	signing data......


2011-1-12 9:46:00	 Ver:1.0.3.2	set key store


2011-1-12 9:46:00	 Ver:1.0.3.2	import parameters......


2011-1-12 9:46:00	 Ver:1.0.3.2	start signing.....


2011-1-12 9:46:01	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094601RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:46:01	 Ver:1.0.3.2	signing data......


2011-1-12 9:46:01	 Ver:1.0.3.2	set key store


2011-1-12 9:46:01	 Ver:1.0.3.2	import parameters......


2011-1-12 9:46:01	 Ver:1.0.3.2	start signing.....


